ASSET,BANKS,DEP,EINTEXP,EQNM,ID,INTBAST,INTINC,NETINC,NIM,STNAME,YEAR,ROA,ROA_L1,DROA,DROA_L1,ASSET_L1,DASSET,DEP_L1,DDEP,BANKS_L1,DBANKS,NIM_L1,DNIM,bad_year,severity,sent_mean,sent_neg_share,news_count,p_bad_year,sev_hat,StressScore
277000,210.0,217000,,0,CB_1934_AL,112000,,0,,Alabama,1934,0.0,,,,,,,,,,,,0,,,,,,,
290000,207.0,244000,,0,CB_1935_AL,88000,,0,,Alabama,1935,0.0,0.0,0.0,,277000.0,0.04693140794223827,217000.0,0.12442396313364056,210.0,-0.014285714285714285,,,0,-0.0,,,,,,
333000,208.0,285000,,0,CB_1936_AL,94000,,0,,Alabama,1936,0.0,0.0,0.0,0.0,290000.0,0.1482758620689655,244000.0,0.1680327868852459,207.0,0.004830917874396135,,,0,-0.0,,,,,,
320000,208.0,271000,,0,CB_1937_AL,122000,,0,,Alabama,1937,0.0,0.0,0.0,0.0,333000.0,-0.03903903903903904,285000.0,-0.04912280701754386,208.0,0.0,,,0,-0.0,,,,,,
346000,208.0,298000,,0,CB_1938_AL,127000,,0,,Alabama,1938,0.0,0.0,0.0,0.0,320000.0,0.08125,271000.0,0.0996309963099631,208.0,0.0,,,0,-0.0,,,,,,
380000,209.0,330000,,0,CB_1939_AL,124000,,0,,Alabama,1939,0.0,0.0,0.0,0.0,346000.0,0.09826589595375723,298000.0,0.10738255033557047,208.0,0.004807692307692308,,,0,-0.0,,,,,,
426000,209.0,375000,,0,CB_1940_AL,136000,,0,,Alabama,1940,0.0,0.0,0.0,0.0,380000.0,0.12105263157894737,330000.0,0.13636363636363635,209.0,0.0,,,0,-0.0,,,,,,
540000,211.0,487000,,0,CB_1941_AL,158000,,0,,Alabama,1941,0.0,0.0,0.0,0.0,426000.0,0.2676056338028169,375000.0,0.2986666666666667,209.0,0.009569377990430622,,,0,-0.0,,,,,,
746000,211.0,691000,,0,CB_1942_AL,134000,,0,,Alabama,1942,0.0,0.0,0.0,0.0,540000.0,0.3814814814814815,487000.0,0.4188911704312115,211.0,0.0,,,0,-0.0,,,,,,
894000,211.0,836000,,0,CB_1943_AL,144000,,0,,Alabama,1943,0.0,0.0,0.0,0.0,746000.0,0.19839142091152814,691000.0,0.2098408104196816,211.0,0.0,,,0,-0.0,,,,,,
1089000,213.0,1026000,,0,CB_1944_AL,156000,,0,,Alabama,1944,0.0,0.0,0.0,0.0,894000.0,0.2181208053691275,836000.0,0.22727272727272727,211.0,0.009478672985781991,,,0,-0.0,,,,,,
1374000,212.0,1306000,,0,CB_1945_AL,205000,,0,,Alabama,1945,0.0,0.0,0.0,0.0,1089000.0,0.26170798898071623,1026000.0,0.2729044834307992,213.0,-0.004694835680751174,,,0,-0.0,,,,,,
1299000,216.0,1223000,,0,CB_1946_AL,260000,,0,,Alabama,1946,0.0,0.0,0.0,0.0,1374000.0,-0.05458515283842795,1306000.0,-0.06355283307810107,212.0,0.018867924528301886,,,0,-0.0,,,,,,
1341000,219.0,1260000,,0,CB_1947_AL,319000,,0,,Alabama,1947,0.0,0.0,0.0,0.0,1299000.0,0.03233256351039261,1223000.0,0.03025347506132461,216.0,0.013888888888888888,,,0,-0.0,,,,,,
1343000,221.0,1255000,,0,CB_1948_AL,372000,,0,,Alabama,1948,0.0,0.0,0.0,0.0,1341000.0,0.0014914243102162564,1260000.0,-0.003968253968253968,219.0,0.0091324200913242,,,0,-0.0,,,,,,
1297000,224.0,1202000,,0,CB_1949_AL,370000,,0,,Alabama,1949,0.0,0.0,0.0,0.0,1343000.0,-0.03425167535368578,1255000.0,-0.04223107569721116,221.0,0.013574660633484163,,,0,-0.0,,,,,,
1375000,225.0,1271000,,0,CB_1950_AL,431000,,9145,,Alabama,1950,0.006650909090909091,0.0,0.006650909090909091,0.0,1297000.0,0.06013878180416345,1202000.0,0.05740432612312812,224.0,0.004464285714285714,,,0,-0.0,,,,,,
1488000,226.0,1378000,,0,CB_1951_AL,425000,,8578,,Alabama,1951,0.005764784946236559,0.006650909090909091,-0.000886124144672532,0.006650909090909091,1375000.0,0.08218181818181818,1271000.0,0.08418568056648308,225.0,0.0044444444444444444,,,1,0.000886124144672532,,,,,,
1569000,229.0,1451000,,0,CB_1952_AL,483000,,9984,,Alabama,1952,0.006363288718929255,0.005764784946236559,0.0005985037726926956,-0.000886124144672532,1488000.0,0.05443548387096774,1378000.0,0.05297532656023222,226.0,0.01327433628318584,,,0,-0.0,,,,,,
1617000,231.0,1491000,,0,CB_1953_AL,505000,,9689,,Alabama,1953,0.005991960420531849,0.006363288718929255,-0.0003713282983974055,0.0005985037726926956,1569000.0,0.030592734225621414,1451000.0,0.027567195037904894,229.0,0.008733624454148471,,,0,0.0003713282983974055,,,,,,
1692000,234.0,1556000,,0,CB_1954_AL,531000,,13075,,Alabama,1954,0.007727541371158392,0.005991960420531849,0.0017355809506265432,-0.0003713282983974055,1617000.0,0.04638218923933209,1491000.0,0.043594902749832326,231.0,0.012987012987012988,,,0,-0.0,,,,,,
