"ASSET","BANKS","DEP","EINTEXP","EQNM","ID","INTBAST","INTINC","NETINC","NIM","STNAME","YEAR"
"0","2","0","","0","CB_1934_AK","0","","0","","Alaska","1934"
"277000","210","217000","","0","CB_1934_AL","112000","","0","","Alabama","1934"
"148000","213","122000","","0","CB_1934_AR","53000","","0","","Arkansas","1934"
"0","0","0","","0","CB_1934_AS","0","","0","","American Samoa","1934"
"55000","15","49000","","0","CB_1934_AZ","14000","","0","","Arizona","1934"
"3721000","254","3228000","","0","CB_1934_CA","1465000","","0","","California","1934"
"296000","144","261000","","0","CB_1934_CO","61000","","0","","Colorado","1934"
"531000","109","441000","","0","CB_1934_CT","221000","","0","","Connecticut","1934"
"300000","22","257000","","0","CB_1934_DC","84000","","0","","District Of Columbia","1934"
"153000","44","114000","","0","CB_1934_DE","64000","","0","","Delaware","1934"
"268000","146","228000","","0","CB_1934_FL","53000","","0","","Florida","1934"
"0","0","0","","0","CB_1934_FM","0","","0","","Federated States of Micronesia","1934"
"396000","260","326000","","0","CB_1934_GA","179000","","0","","Georgia","1934"
"0","0","0","","0","CB_1934_GU","0","","0","","Guam","1934"
"0","0","0","","0","CB_1934_HI","0","","0","","Hawaii","1934"
"491000","575","432000","","0","CB_1934_IA","150000","","0","","Iowa","1934"
"71000","60","63000","","0","CB_1934_ID","15000","","0","","Idaho","1934"
"3344000","863","2933000","","0","CB_1934_IL","764000","","0","","Illinois","1934"
"695000","493","555000","","0","CB_1934_IN","184000","","0","","Indiana","1934"
"341000","431","295000","","0","CB_1934_KS","88000","","0","","Kansas","1934"
"437000","394","348000","","0","CB_1934_KY","182000","","0","","Kentucky","1934"
"373000","147","320000","","0","CB_1934_LA","125000","","0","","Louisiana","1934"
"1904000","206","1593000","","0","CB_1934_MA","706000","","0","","Massachusetts","1934"
"529000","184","458000","","0","CB_1934_MD","133000","","0","","Maryland","1934"
"206000","66","170000","","0","CB_1934_ME","74000","","0","","Maine","1934"
"1033000","428","903000","","0","CB_1934_MI","244000","","0","","Michigan","1934"
"853000","651","738000","","0","CB_1934_MN","236000","","0","","Minnesota","1934"
"1276000","639","1136000","","0","CB_1934_MO","323000","","0","","Missouri","1934"
"169000","203","142000","","0","CB_1934_MS","57000","","0","","Mississippi","1934"
"130000","118","111000","","0","CB_1934_MT","25000","","0","","Montana","1934"
"356000","237","308000","","0","CB_1934_NC","110000","","0","","North Carolina","1934"
"82000","194","67000","","0","CB_1934_ND","22000","","0","","North Dakota","1934"
"320000","379","280000","","0","CB_1934_NE","77000","","0","","Nebraska","1934"
"85000","57","65000","","0","CB_1934_NH","32000","","0","","New Hampshire","1934"
"1755000","391","1453000","","0","CB_1934_NJ","656000","","0","","New Jersey","1934"
"42000","41","37000","","0","CB_1934_NM","9000","","0","","New Mexico","1934"
"22000","9","20000","","0","CB_1934_NV","3000","","0","","Nevada","1934"
"14034000","771","11695000","","0","CB_1934_NY","4241000","","0","","New York","1934"
"1929000","680","1620000","","0","CB_1934_OH","678000","","0","","Ohio","1934"
"370000","394","313000","","0","CB_1934_OK","95000","","0","","Oklahoma","1934"
"237000","102","207000","","0","CB_1934_OR","51000","","0","","Oregon","1934"
"0","0","0","","0","CB_1934_OT","0","","0","","Other Areas","1934"
"4777000","1080","3797000","","0","CB_1934_PA","1505000","","0","","Pennsylvania","1934"
"0","0","0","","0","CB_1934_PR","0","","0","","Puerto Rico","1934"
"259000","16","217000","","0","CB_1934_RI","103000","","0","","Rhode Island","1934"
"121000","97","106000","","0","CB_1934_SC","38000","","0","","South Carolina","1934"
"95000","212","79000","","0","CB_1934_SD","26000","","0","","South Dakota","1934"
"437000","317","366000","","0","CB_1934_TN","172000","","0","","Tennessee","1934"
"1222000","820","1020000","","0","CB_1934_TX","356000","","0","","Texas","1934"
"46437000","14146","38996000","","0","CB_1934_US","14603000","","0","","United States","1934"
"46448076","14146","39015142","327723","0","CB_1934_USA","33128654","1241092","-357000","913000","United States & Other Areas","1934"
"140000","58","120000","","0","CB_1934_UT","39000","","0","","Utah","1934"
"545000","320","443000","","0","CB_1934_VA","236000","","0","","Virginia","1934"
"0","0","0","","0","CB_1934_VI","0","","0","","Virgin Islands Of The U.S.","1934"
"126000","76","95000","","0","CB_1934_VT","57000","","0","","Vermont","1934"
"390000","187","328000","","0","CB_1934_WA","105000","","0","","Washington","1934"
"758000","602","645000","","0","CB_1934_WI","246000","","0","","Wisconsin","1934"
"280000","169","225000","","0","CB_1934_WV","116000","","0","","West Virginia","1934"
"58000","60","50000","","0","CB_1934_WY","18000","","0","","Wyoming","1934"
"0","2","0","","0","CB_1935_AK","0","","0","","Alaska","1935"
"290000","207","244000","","0","CB_1935_AL","88000","","0","","Alabama","1935"
"166000","213","144000","","0","CB_1935_AR","45000","","0","","Arkansas","1935"
"0","0","0","","0","CB_1935_AS","0","","0","","American Samoa","1935"
"70000","15","64000","","0","CB_1935_AZ","19000","","0","","Arizona","1935"
"4007000","245","3604000","","0","CB_1935_CA","1486000","","0","","California","1935"
"320000","141","289000","","0","CB_1935_CO","68000","","0","","Colorado","1935"
"515000","105","441000","","0","CB_1935_CT","193000","","0","","Connecticut","1935"
"336000","22","294000","","0","CB_1935_DC","86000","","0","","District Of Columbia","1935"
"170000","44","132000","","0","CB_1935_DE","56000","","0","","Delaware","1935"
"301000","148","268000","","0","CB_1935_FL","61000","","0","","Florida","1935"
"0","0","0","","0","CB_1935_FM","0","","0","","Federated States of Micronesia","1935"
"440000","258","380000","","0","CB_1935_GA","146000","","0","","Georgia","1935"
"0","0","0","","0","CB_1935_GU","0","","0","","Guam","1935"
"0","1","0","","0","CB_1935_HI","0","","0","","Hawaii","1935"
"553000","582","497000","","0","CB_1935_IA","178000","","0","","Iowa","1935"
"82000","57","74000","","0","CB_1935_ID","19000","","0","","Idaho","1935"
"3933000","864","3533000","","0","CB_1935_IL","732000","","0","","Illinois","1935"
"759000","500","668000","","0","CB_1935_IN","201000","","0","","Indiana","1935"
"373000","460","333000","","0","CB_1935_KS","97000","","0","","Kansas","1935"
"472000","392","396000","","0","CB_1935_KY","188000","","0","","Kentucky","1935"
"421000","148","374000","","0","CB_1935_LA","113000","","0","","Louisiana","1935"
"2007000","200","1713000","","0","CB_1935_MA","676000","","0","","Massachusetts","1935"
"569000","184","502000","","0","CB_1935_MD","135000","","0","","Maryland","1935"
"204000","62","173000","","0","CB_1935_ME","69000","","0","","Maine","1935"
"1289000","449","1166000","","0","CB_1935_MI","264000","","0","","Michigan","1935"
"899000","649","800000","","0","CB_1935_MN","120000","","0","","Minnesota","1935"
"1429000","646","1295000","","0","CB_1935_MO","162000","","0","","Missouri","1935"
"177000","199","154000","","0","CB_1935_MS","40000","","0","","Mississippi","1935"
"148000","119","133000","","0","CB_1935_MT","21000","","0","","Montana","1935"
"409000","236","361000","","0","CB_1935_NC","110000","","0","","North Carolina","1935"
"83000","192","70000","","0","CB_1935_ND","26000","","0","","North Dakota","1935"
"335000","376","300000","","0","CB_1935_NE","95000","","0","","Nebraska","1935"
"85000","56","69000","","0","CB_1935_NH","31000","","0","","New Hampshire","1935"
"1824000","389","1564000","","0","CB_1935_NJ","580000","","0","","New Jersey","1935"
"48000","40","43000","","0","CB_1935_NM","12000","","0","","New Mexico","1935"
"28000","9","26000","","0","CB_1935_NV","5000","","0","","Nevada","1935"
"15486000","768","13178000","","0","CB_1935_NY","4419000","","0","","New York","1935"
"2183000","690","1904000","","0","CB_1935_OH","706000","","0","","Ohio","1935"
"432000","387","383000","","0","CB_1935_OK","110000","","0","","Oklahoma","1935"
"264000","93","242000","","0","CB_1935_OR","60000","","0","","Oregon","1935"
"0","0","0","","0","CB_1935_OT","1000","","0","","Other Areas","1935"
"5020000","1082","4146000","","0","CB_1935_PA","1409000","","0","","Pennsylvania","1935"
"0","0","0","","0","CB_1935_PR","1000","","0","","Puerto Rico","1935"
"262000","16","225000","","0","CB_1935_RI","97000","","0","","Rhode Island","1935"
"138000","112","125000","","0","CB_1935_SC","34000","","0","","South Carolina","1935"
"97000","198","83000","","0","CB_1935_SD","33000","","0","","South Dakota","1935"
"491000","315","431000","","0","CB_1935_TN","165000","","0","","Tennessee","1935"
"1318000","805","1152000","","0","CB_1935_TX","362000","","0","","Texas","1935"
"50916000","14125","44123000","","0","CB_1935_US","14322000","","0","","United States","1935"
"50925635","14125","44147311","298196","0","CB_1935_USA","35088542","1190727","174000","893000","United States & Other Areas","1935"
"154000","59","136000","","0","CB_1935_UT","44000","","0","","Utah","1935"
"584000","322","500000","","0","CB_1935_VA","234000","","0","","Virginia","1935"
"0","0","0","","0","CB_1935_VI","0","","0","","Virgin Islands Of The U.S.","1935"
"127000","76","100000","","0","CB_1935_VT","54000","","0","","Vermont","1935"
"424000","172","379000","","0","CB_1935_WA","128000","","0","","Washington","1935"
"841000","591","736000","","0","CB_1935_WI","215000","","0","","Wisconsin","1935"
"288000","170","241000","","0","CB_1935_WV","111000","","0","","West Virginia","1935"
"65000","59","58000","","0","CB_1935_WY","19000","","0","","Wyoming","1935"
"0","2","0","","0","CB_1936_AK","0","","0","","Alaska","1936"
"333000","208","285000","","0","CB_1936_AL","94000","","0","","Alabama","1936"
"201000","211","179000","","0","CB_1936_AR","45000","","0","","Arkansas","1936"
"0","0","0","","0","CB_1936_AS","0","","0","","American Samoa","1936"
"83000","14","76000","","0","CB_1936_AZ","26000","","0","","Arizona","1936"
"4383000","218","3974000","","0","CB_1936_CA","1602000","","0","","California","1936"
"367000","138","335000","","0","CB_1936_CO","79000","","0","","Colorado","1936"
"553000","104","476000","","0","CB_1936_CT","193000","","0","","Connecticut","1936"
"379000","22","334000","","0","CB_1936_DC","95000","","0","","District Of Columbia","1936"
"205000","44","166000","","0","CB_1936_DE","61000","","0","","Delaware","1936"
"368000","153","333000","","0","CB_1936_FL","73000","","0","","Florida","1936"
"0","0","0","","0","CB_1936_FM","0","","0","","Federated States of Micronesia","1936"
"482000","262","420000","","0","CB_1936_GA","180000","","0","","Georgia","1936"
"0","0","0","","0","CB_1936_GU","0","","0","","Guam","1936"
"0","1","0","","0","CB_1936_HI","0","","0","","Hawaii","1936"
"642000","589","584000","","0","CB_1936_IA","206000","","0","","Iowa","1936"
"97000","50","89000","","0","CB_1936_ID","23000","","0","","Idaho","1936"
"4430000","863","4023000","","0","CB_1936_IL","924000","","0","","Illinois","1936"
"890000","485","794000","","0","CB_1936_IN","220000","","0","","Indiana","1936"
"405000","460","363000","","0","CB_1936_KS","103000","","0","","Kansas","1936"
"528000","386","454000","","0","CB_1936_KY","198000","","0","","Kentucky","1936"
"510000","144","462000","","0","CB_1936_LA","124000","","0","","Louisiana","1936"
"2123000","197","1821000","","0","CB_1936_MA","719000","","0","","Massachusetts","1936"
"637000","183","569000","","0","CB_1936_MD","141000","","0","","Maryland","1936"
"217000","62","186000","","0","CB_1936_ME","66000","","0","","Maine","1936"
