RESDATE,QBFDEP,BIDCITY,BIDSTATE,CLOSCD,PSTALP,BSTATUS,COMMENTS,CITYST,RESTYPE,COSTMOSTRECENTASOF,URL,PTRDATE,COST,QBFASSET,UNINSDEP,TERMI,FAILYR,CHCLASS,FUND,BANKNO,BIDNAME,FIN,FAILDATE,SAVR,RESTYPE1,NAME,CHCLASS1,FSL_PROG,CITY,CERT,BRDATE,ID
4/26/2024,4373927.0,LANCASTER,PA,TASNN,PA,A,,"PHILADELPHIA, PA",FAILURE,30JUN2024,,,667138.0,5866190.0,,,2024,NM,1,,"FULTON BANK, NATIONAL ASSOCIATION",10546,4/26/2024,BIF,PA,REPUBLIC BANK,NM,,PHILADELPHIA,27332.0,,4110
11/3/2023,52311.0,EMMETSBURG,IA,PASAN,IA,A,,"SAC CITY, IA",FAILURE,30JUN2024,,,14517.0,60448.0,,,2023,NM,5,,IOWA TRUST & SAVINGS BANK,10545,11/3/2023,DIF,PA,CITIZENS BANK,NM,,SAC CITY,8758.0,,4109
7/28/2023,130110.0,SYRACUSE,KS,TABAN,KS,A,,"ELKHART, KS",FAILURE,30JUN2024,,,54136.0,139446.0,,,2023,SM,5,,"DREAM FIRST BANK,NATIONAL ASSOCIATION",10544,7/28/2023,DIF,PA,HEARTLAND TRI-STATE BANK,SM,,ELKHART,25851.0,,4108
5/1/2023,176436706.0,COLUMBUS,OH,TASNN,CA,A,,"SAN FRANCISCO, CA",FAILURE,30JUN2024,,,16339120.0,212638872.0,,,2023,NM,5,,"JPMORGAN CHASE BANK, N.A.",10543,5/1/2023,DIF,PA,FIRST REPUBLIC BANK,NM,,SAN FRANCISCO,59017.0,,4107
3/20/2023,88612911.0,HICKSVILLE,NY,PASNN,NY,A,"LCT not performed.  DRR will provide data when available. Signature Bridge Bank, N.A. (59332)  created with FIN 10541.","NEW YORK, NY",FAILURE,30JUN2024,,,2815579.0,110363650.0,,,2023,NM,5,,"FLAGSTAR BANK, N.A.",10540,3/12/2023,DIF,PA,SIGNATURE BANK,NM,,NEW YORK,57053.0,,4106
3/26/2023,175378000.0,RALEIGH,NC,DTBNA,CA,A,LCT not performed.  DRR will provide data when available.  Silicon Valley Bank to Silicon Valley Bridge Bank (59334)created with FIN 10542.,"SANTA CLARA, CA",FAILURE,30JUN2024,,,19630266.0,209026000.0,,,2023,SM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10539,3/7/2023,DIF,PA,SILICON VALLEY BANK,SM,,SANTA CLARA,24735.0,,4105
10/23/2020,64941.0,ANDOVER,KS,TASAN,KS,I,,"ALMENA, KS",FAILURE,30JUN2024,https://www.fdic.gov/news/press-releases/2020/pr20119.html,,15861.0,65733.0,,T,2020,NM,5,,EQUITY BANK,10538,10/23/2020,DIF,PA,ALMENA STATE BANK,NM,,ALMENA,15426.0,,4104
10/16/2020,133936.0,EVANSVILLE,IN,TASNN,FL,I,,"FORT WALTON BEACH, FL",FAILURE,30JUN2024,https://www.fdic.gov/news/press-releases/2020/pr20112.html,,7247.0,136566.0,,T,2020,NM,5,,"UNITED FIDELITY BANK, FSB",10537,10/16/2020,DIF,PA,FIRST CITY BANK OF FLORIDA,NM,,FORT WALTON BEACH,16748.0,,4103
4/3/2020,143102.0,FAIRMONT,WV,TASNN,WV,A,,"BARBOURSVILLE, WV",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2020/pr20046.html,,43793.0,151808.0,,,2020,NM,5,,"MVB BANK, INC",10536,4/3/2020,DIF,PA,THE FIRST STATE BANK,NM,,BARBOURSVILLE,14361.0,,4102
2/14/2020,95159.0,MILFORD,NE,PASAN,NE,I,,"ERICSON, NE",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2020/pr20011.html,,23279.0,100879.0,,T,2020,NM,5,,FARMERS AND MERCHANTS BANK,10535,2/14/2020,DIF,PA,ERICSON STATE BANK,NM,,ERICSON,18265.0,,4101
