STNAME,n_years,beta_neg_t,corr_neg_t,n_neg_t,beta_neg_l1,corr_neg_l1,n_neg_l1,beta_pos_t,corr_pos_t,n_pos_t,beta_pos_l1,corr_pos_l1,n_pos_l1,d_droa_if_neg_news_plus_10pp_l1,d_droa_if_pos_sent_plus_0p1_t,early_positive_response_score,bad_year_share,cumulative_negative_droa,avg_droa
Oregon,7,-0.8962488980163272,-0.7629641362914266,7,-1.5389115363230077,-0.8658636257582606,6,0.35216671166340335,0.32852848076997065,7,0.6315288695963908,0.5504961876258359,6,-0.15389115363230077,0.035216671166340335,-0.2793621579329874,0.2857142857142857,0.05689027228345324,-0.007241597817985795
Alabama,7,-0.21831248220281468,-0.9141774270089155,7,-0.23041486545617398,-0.6389693842125702,6,0.05632601461966796,0.2584700240331619,7,0.17287973774380763,0.7427435975927174,6,-0.0230414865456174,0.0056326014619667965,-0.11655372312413967,0.42857142857142855,0.014032119002250223,-0.0014253273041697015
Ohio,7,-0.12483329268387773,-0.753159289587962,7,-0.19774267838668672,-0.7916190380170164,6,0.012525597809163626,0.08281406590358609,7,0.07985606900596644,0.49527797170210175,6,-0.019774267838668674,0.0012525597809163627,-0.06733047119680281,0.2857142857142857,0.0073737002132154604,-0.0002999856045625263
Connecticut,7,-0.1321050583592202,-0.7661946699359146,7,-0.19694957206868713,-0.7700521060455785,6,0.01668078251927441,0.10601939782404819,7,0.08485768108843217,0.5140217522839798,6,-0.019694957206868716,0.001668078251927441,-0.06817689856915776,0.2857142857142857,0.007816791416385614,-0.0003731911233582947
Florida,7,-0.09242929838876812,-0.6452016435211149,7,-0.18985562412237839,-0.8754595338728152,6,0.05509045479793993,0.42141636827490747,7,0.07640205492042455,0.5458117944129569,6,-0.01898556241223784,0.005509045479793993,-0.02131160012248462,0.14285714285714285,0.0055372206981862335,-0.00016329643184158037
South Dakota,7,-0.19056626496950768,-0.7969997104063355,7,-0.1867742033230795,-0.5156295516815571,6,-0.02693789785972238,-0.12345966017205831,7,0.1050512034307699,0.44931115987482767,6,-0.018677420332307952,-0.002693789785972238,-0.1319891012904923,0.42857142857142855,0.015254373426598574,-0.0012373343157497942
New Hampshire,7,-0.04985181745373101,-0.3311352944418884,7,-0.1828259638202452,-0.8057679228832682,6,-0.016590769581372282,-0.12076476551998724,7,0.011206988241095818,0.07652199531856108,6,-0.01828259638202452,-0.0016590769581372282,-0.0277977578224681,0.42857142857142855,0.00728011823584098,1.8947014708739496e-05
Utah,7,-0.157960433917828,-0.7887632240545387,7,-0.17227038071233255,-0.5688788742155831,6,-0.01419993168726312,-0.07770229107936387,7,0.11385238017168595,0.5824740392678553,6,-0.017227038071233255,-0.001419993168726312,-0.12805231185894905,0.2857142857142857,0.008151096589648963,2.6764790963650286e-05
Rhode Island,7,-0.22488517431021163,-0.26692039072048196,7,-0.16252995002365647,-0.731772910728873,6,0.2625231349012119,0.34145835374380834,7,0.08103866968149884,0.5652759342663658,6,-0.01625299500236565,0.02625231349012119,0.18148446521971304,0.14285714285714285,0.006335678985645315,0.005080951587345052
Delaware,7,-0.1874271299398119,-0.790502859137843,7,-0.15768121650368166,-0.45864495653462795,6,-0.03323392391770729,-0.1536037594722829,7,0.13635376714691747,0.6144535646792387,6,-0.01576812165036817,-0.0033233923917707292,-0.16958769106462476,0.42857142857142855,0.01753858217287132,-0.001716142727870362
Hawaii,7,-0.10940222326021984,-0.6997407188821663,7,-0.14789206444389671,-0.6489572895909858,6,-0.024548719133572882,-0.17206362565866876,7,0.06303259965611883,0.428510758022953,6,-0.014789206444389672,-0.002454871913357288,-0.08758131878969172,0.42857142857142855,0.009873451730040665,-0.0008714951807068412
