STNAME,n_years,beta_neg_t,corr_neg_t,n_neg_t,beta_neg_l1,corr_neg_l1,n_neg_l1,beta_pos_t,corr_pos_t,n_pos_t,beta_pos_l1,corr_pos_l1,n_pos_l1,d_droa_if_neg_news_plus_10pp_l1,d_droa_if_pos_sent_plus_0p1_t,early_positive_response_score,bad_year_share,cumulative_negative_droa,avg_droa
Oregon,7,1.6055668222675488,0.5516217147690807,7,0.3262130771823453,0.09416478845130213,6,1.0306739362610005,0.551329127287472,7,0.39273717470895647,0.16890898334614915,6,0.032621307718234537,0.10306739362610005,0.6379367615520439,0.2857142857142857,0.05689027228345324,-0.007241597817985795
Rhode Island,7,0.1395218078538028,0.06683446885585792,7,0.1891165086265005,0.43684130507507324,6,0.9073653379107891,0.6767328611264796,7,-0.05947053034008067,-0.2046725658553359,6,0.01891165086265005,0.09073653379107892,0.9668358682508698,0.14285714285714285,0.006335678985645315,0.005080951587345052
Louisiana,7,-0.23284708970295934,-0.32532690423472255,7,0.27851278522041284,0.32622214296481605,6,0.14963793342226125,0.3255124043345902,7,-0.21672115600345418,-0.37821014737847974,6,0.027851278522041285,0.014963793342226125,0.36635908942571543,0.42857142857142855,0.012745524223457906,-7.975565686226007e-05
Alabama,7,0.3902219365667577,0.6594791736469258,7,-0.12326380367629158,-0.1753704627321678,6,0.14326301372569816,0.3769642480511211,7,0.13692763782410097,0.2902522314332739,6,-0.01232638036762916,0.014326301372569817,0.00633537590159719,0.42857142857142855,0.014032119002250223,-0.0014253273041697015
Florida,7,0.13488867440283167,0.3800132807564003,7,0.13764037315890085,0.3256190304838522,6,0.13886589158500168,0.6091097476915746,7,-0.01283981563368063,-0.045257055391917156,6,0.013764037315890085,0.013886589158500169,0.15170570721868232,0.14285714285714285,0.0055372206981862335,-0.00016329643184158037
Georgia,7,0.18950673450422373,0.5242220653561529,7,-0.05241266539797499,-0.1252304180163442,6,0.12612910906484268,0.5432286315404162,7,0.08638525590340852,0.30752241515149314,6,-0.0052412665397975,0.012612910906484268,0.03974385316143415,0.14285714285714285,0.006083410332526635,-1.1453165389260381e-05
Connecticut,7,0.25578590032544796,0.5987337778615056,7,0.0008489337577107059,0.0017029041456623855,6,0.11831137411613148,0.43118171132198957,7,0.0062201163172449095,0.018589960785112197,6,8.489337577107059e-05,0.011831137411613148,0.11209125779888657,0.2857142857142857,0.007816791416385614,-0.0003731911233582947
New Hampshire,7,0.07498694488513143,0.20102386385127763,7,0.19400735720879905,0.4386737328124308,6,0.10447136613485901,0.4360496125978758,7,-0.1425962084244868,-0.48039112651430055,6,0.019400735720879907,0.010447136613485902,0.2470675745593458,0.42857142857142855,0.00728011823584098,1.8947014708739496e-05
Ohio,7,0.2404304194286098,0.5854412300587035,7,-0.023475978971488332,-0.04821596436330517,6,0.08868073782146914,0.336201667542653,7,0.06883457447540706,0.21063830238880907,6,-0.0023475978971488334,0.008868073782146914,0.019846163346062082,0.2857142857142857,0.0073737002132154604,-0.0002999856045625263
Mississippi,7,0.22989795300222707,0.691096586258733,7,-0.060775161323923126,-0.15597632414234336,6,0.07321270998082433,0.3426626749698123,7,0.03711240208239887,0.141910716881347,6,-0.006077516132392313,0.007321270998082433,0.03610030789842546,0.2857142857142857,0.006012933247036344,-0.0003092018390807736
